,video_id,view_count,like_count,comment_count,tags
0,aPlGZscT900,1294985,17229,1956,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ハッピーホイールズ', 'happywheels', 'バカゲー', 'グロ', '面白い']"
1,9t-yRa4dxDM,710615,17891,2034,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'パンケーキ', '可愛い', 'ホットケーキ']"
2,mA24bJ70RQI,2642649,21019,1992,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', 'アプリ', '恋', '恋愛', '恋愛ゲーム']"
3,AQCsTfbx-FA,633021,19025,2700,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '猫', '癒し', '可愛い']"
4,OPT4luibbwI,1292947,13637,1257,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '海', 'サバイバル', 'ホラー', 'ホラーゲーム', 'Subnautica']"
5,iO-81D9QF2U,1060515,12829,1917,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ホラー', 'ホラーゲーム', 'ウェンディゴ']"
6,LKHeaYwokaE,1037178,12172,1239,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ホラーゲーム', 'ホラー', '脱出']"
7,25E1cnacMvE,1957022,16462,1052,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', 'トラック']"
8,EsXR8K2h3qk,663214,11227,1332,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '恐竜', '遊園地', '作ってみた']"
9,1GAM856jg4Q,643851,16338,3285,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'Twitter', 'ツイッター', '面白い']"
10,WWdI-KMNX9o,353440,9264,1124,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'アプリ', 'iPhone', '面白い', 'バカゲー', 'テレビ', '格付けチェック']"
11,fZRKYwX46og,869068,8738,884,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ゾンビ', 'バカゲー', 'ホラー', '面白い', 'ホラーゲーム', 'Dead Rising 3']"
12,5GFC0iYIV_Y,873063,14685,1231,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', 'フリーゲーム', '面白い']"
13,rOlrC-K8DfI,1041605,14783,1691,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い']"
14,Rc8xu55kdwM,947136,13989,1235,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', 'フリーゲーム']"
15,daLtYR3YORw,1103200,15224,1996,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ホラーゲーム', 'ホラー', 'バカゲー']"
16,nCyiJiZGddc,439449,8243,1784,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'モンハン', 'モンスターハンターワールド', 'PS4', '面白い']"
17,v9HruE6hceI,2360007,24251,3062,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '海', 'ホラーゲーム', 'ホラー', 'サバイバル']"
18,s6ozW6jEveQ,1295212,18516,2249,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '世界', '菌']"
19,n0TL50HhBx0,1051134,11485,1930,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', 'TPS', 'Fortnite']"
20,S4DIxv44IhA,1314165,12157,1544,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'マリオ', '任天堂', 'ラビッツ', 'ニンテンドースイッチ']"
21,oyyEaHmWWdw,983368,12162,1300,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'dead by daylight', 'ホラーゲーム', 'ホラー']"
22,ezoU4-NrETE,2361540,16439,1336,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '棒人間']"
23,XSqJgzQ7z8c,2126583,15011,1185,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ホラーゲーム', 'ホラー', 'ゾンビ', 'デッドライジング', 'Dead Rising 3']"
24,6QC1WVv58_E,498786,12293,2065,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'VR', '面白い', 'バカゲー']"
25,jPPPg-9AE9o,369952,17931,2456,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '雪', '旅', '実写']"
26,K-e-Yq16e6E,455733,8243,1013,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '侵入', '泥棒', '王国']"
27,GwE3ba94THQ,710507,9967,1656,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '恋愛ゲーム', '恋', '面白い']"
28,o8PwWvuXjV4,802357,9850,1530,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ホラーゲーム', 'ホラー', 'アプリ', '青鬼', '青鬼3', '面白い']"
29,rilRUbkG3-8,3048129,23562,1835,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '料理', '鳥', 'ママ']"
30,cSZ00_PAH5Q,607219,7578,2649,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '恋愛', '恋愛ゲーム', 'ホラーゲーム', 'ホラー']"
31,iC2SXP63AVw,736356,9478,1166,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ホラーゲーム', 'ホラー', 'アプリ', '面白い', '青鬼', '青鬼3']"
32,4xziGTSHpuE,1472419,20557,2954,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'Doki Doki Literature Club!', '恋愛', '恋', '高校', '面白い']"
33,AAxatoPAnkE,1525319,10351,1584,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '美少女', '恋愛ゲーム', '恋']"
34,uw2eqf_FK2Q,905264,15729,2049,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ホラーゲーム', 'ホラー', 'ホラゲ']"
